"stage","response","term_type","term","estimate","std_error","t_value","F","edf","ref_df","p_value","adj_r2","dev_explained","n"
"Qlarvae","Mean","parametric","tube5",0.000289835519632083,0.0231143104941053,0.0125392241185822,NA,NA,NA,0.990011813870565,0.0409631051229156,0.0693546351187262,158
"Qlarvae","Mean","parametric","tube8",-0.0144072476990284,0.0265313315513332,-0.543027690530837,NA,NA,NA,0.587904313720535,0.0409631051229156,0.0693546351187262,158
"Qlarvae","Mean","smooth","s(q)",NA,NA,NA,2.81353169663014,2.64786102928141,3.14937979418232,0.0353208331912258,0.0409631051229156,0.0693546351187262,158
"Qlarvae","CV","parametric","(Intercept)",0.171642268662972,0.0230289435738584,7.45332794413608,NA,NA,NA,7.34787128711482e-11,0.0742196643844354,0.113821418124284,89
"Qlarvae","CV","parametric","tube5",0.0710002708509504,0.0324629209193094,2.18711899115395,NA,NA,NA,0.0315056829252005,0.0742196643844354,0.113821418124284,89
"Qlarvae","CV","parametric","tube8",0.0630482295744027,0.039465104555203,1.59756904954381,NA,NA,NA,0.11388365436156,0.0742196643844354,0.113821418124284,89
"Qlarvae","CV","smooth","s(q)",NA,NA,NA,2.46645106472762,1.76434257138275,2.2128925890331,0.0795513466753425,0.0742196643844354,0.113821418124284,89
"Qlarvae","Skew","parametric","(Intercept)",0.300041681919972,0.29277409640678,1.02482318484588,NA,NA,NA,0.312026747109345,-0.0235003909808118,0.0659341519828922,42
"Qlarvae","Skew","parametric","tube5",-0.419764595653482,0.37006096056346,-1.13431201987463,NA,NA,NA,0.263878623956959,-0.0235003909808118,0.0659341519828922,42
"Qlarvae","Skew","parametric","tube8",-0.218756669754187,0.498502445582874,-0.438827676157949,NA,NA,NA,0.6633100042685,-0.0235003909808118,0.0659341519828922,42
"Qlarvae","Skew","smooth","s(q)",NA,NA,NA,0.532485336415956,1.58262321521732,1.95663626602555,0.600446699849516,-0.0235003909808118,0.0659341519828922,42
"deutos","Mean","parametric","(Intercept)",0.650031360428846,0.0277228712938196,23.4474760402528,NA,NA,NA,8.40433864170074e-38,0.119824228728469,0.163267511402292,86
"deutos","Mean","parametric","tube5",-0.0749030081977983,0.0532640002236113,-1.40625953520845,NA,NA,NA,0.163481109530659,0.119824228728469,0.163267511402292,86
"deutos","Mean","parametric","tube8",0.0058443131306133,0.0381431310297904,0.153220592353805,NA,NA,NA,0.878606305049353,0.119824228728469,0.163267511402292,86
"deutos","Mean","smooth","s(q)",NA,NA,NA,3.31583538091151,2.19538818018174,2.70021089312764,0.0243339712899435,0.119824228728469,0.163267511402292,86
"deutos","CV","parametric","(Intercept)",0.121869096863031,0.0307265507237125,3.96624723545624,NA,NA,NA,0.000290831329191507,0.0685596772823699,0.144165523150422,45
"deutos","CV","parametric","tube5",0.000670834177065108,0.059790638755307,0.0112197191906662,NA,NA,NA,0.991103331408625,0.0685596772823699,0.144165523150422,45
"deutos","CV","parametric","tube8",0.0791885275973079,0.0380754083262475,2.07978144104942,NA,NA,NA,0.0439285449070441,0.0685596772823699,0.144165523150422,45
"deutos","CV","smooth","s(q)",NA,NA,NA,0.604736584657078,1.57151943829125,1.93262797084427,0.574964082842466,0.0685596772823699,0.144165523150422,45
"deutos","Skew","parametric","(Intercept)",-0.322087535916373,0.623453482314712,-0.516618392635405,NA,NA,NA,0.611383704563642,-0.0131813375086811,0.124981447059038,23
"deutos","Skew","parametric","tube5",1.97241619823904,1.24686812922969,1.5818963946553,NA,NA,NA,0.130177137722357,-0.0131813375086811,0.124981447059038,23
"deutos","Skew","parametric","tube8",0.221851601976372,0.670919569134763,0.330667955120877,NA,NA,NA,0.744513959770137,-0.0131813375086811,0.124981447059038,23
"deutos","Skew","smooth","s(q)",NA,NA,NA,0.00233260427910748,1.00003676337335,1.0000735257715,0.962301433209892,-0.0131813375086811,0.124981447059038,23
